Crop,Weights,Yield - T.E. (2007-08),Yield - 2007-08,Index - 2007-08,Yield - 2008-09,Index - 2008-09,Yield - 2009-10,Index - 2009-10,Yield - 2010-11,Index - 2010-11,Yield - 2011-12,Index - 2011-12,Yield - 2012-13,Index - 2012-13,Yield - 2013-14,Index - 2013-14,Yield - 2014-15,Index - 2014-15,Yield - 2015-16*,Index - 2015-16*
Castorseed,0.48,1231.23,1338.92,108.75,1352,109.81,1372.98,111.51,1533.87,124.58,1560.23,126.72,1591.68,129.27,1623.87,131.89,1716.7,139.43,1590.68,129.19
Nigerseed,0.06,262.12,268.65,102.49,297.41,113.46,266.05,101.5,290.39,110.79,269.17,102.69,324.83,123.92,327.42,124.91,328.31,125.25,305.69,116.62
Sesamum,0.47,385.88,420.71,109.03,353.93,91.72,302.97,78.51,428.66,111.09,426.11,110.43,401.6,104.07,425.64,110.3,474.09,122.86,444.83,115.28
Rapeseed & Mustard,3.6,1075.94,1001.39,93.07,1143.31,106.26,1182.55,109.91,1185.24,110.16,1120.51,104.14,1261.9,117.28,1185.23,110.16,1083.34,100.69,1183.9,110.03
Linseed,0.09,375.63,349.22,92.97,414.81,110.43,449.42,119.64,407.94,108.6,472.52,125.79,501.53,133.52,483.45,128.7,541.51,144.16,442,117.67
Safflower,0.1,652.98,700.91,107.34,642.23,98.35,621.26,95.14,616.91,94.48,580.36,88.88,591.28,90.55,637.8,97.67,515.15,78.89,446.26,68.34
Sunflower,0.78,643.64,765.38,118.91,638.79,99.25,576.12,89.51,700.84,108.89,705.93,109.68,655.12,101.78,750.41,116.59,736.18,114.38,697.17,108.32
Soyabean,3.56,1127.4,1234.92,109.54,1041.49,92.38,1023.61,90.79,1326.56,117.67,1208.17,107.16,1352.9,120,1012.32,89.79,950.78,84.33,736.56,65.33
Total Oilseeds,13.25,1011.77,1114.74,110.28,1005.85,98.95,958.49,93.83,1193.02,115.66,1132.68,109.28,1168.23,110.13,1167.51,114.32,1074.8,106.23,968.21,95.69
Sugarcane,9.89,68357.85,68877.18,100.76,64553.45,94.43,70019.07,102.43,70091.46,102.54,71667.59,104.84,68254.36,99.85,70522.86,103.17,71511.17,104.61,71095.17,104
Cotton,4.41,2460.59,2749.62,111.75,2368.12,96.24,2370.95,96.36,2937.25,119.37,2890.46,117.47,2857.14,116.12,3001.84,122,461.57,110.34,431.69,103.2
Jute,0.66,12889.43,12553.86,97.4,12263.75,95.15,13844.18,107.41,12938.74,100.38,13269.93,102.95,13313.67,103.29,14660.45,113.74,2549.05,109.87,2447.71,105.5
Mesta,0.01,6606.62,6774.28,102.54,6339.12,95.95,6231.42,94.32,6194.73,93.77,6932.04,104.93,6869.93,103.99,7437.5,112.58,1523.7,128.13,1749.9,147.15
Coconut,1.19,5398,5330.67,98.75,5332.63,98.79,5711.87,105.81,5717.3,105.92,7213.91,133.64,7304.16,135.31,6967.76,129.08,7118.93,131.88,6721.59,124.52
Cotton seed,2.13,836.6,934.87,111.75,805.17,96.24,806.12,96.36,998.66,119.37,982.76,117.47,971.43,116.12,1020.62,122,923.14,110.34,860.62,102.87
Sannhamp,0,1783.88,1808.54,101.38,3265.01,183.03,3001.22,168.24,3595.96,201.58,3666.51,205.54,3377.14,189.31,3501.86,196.31,730,227.35,NA,NA
Potato,3.63,16796.28,18331.47,109.14,18810.37,111.99,19932.97,118.67,22726.25,135.31,21753.02,129.51,22763.05,135.52,21061.83,125.4,23125.72,137.68,20510.78,122.12
Tapioca,0.82,32927.82,34407.89,104.49,34367.71,104.37,34741.38,105.51,36542.99,110.98,38533.04,117.02,34961.35,106.18,35697.37,108.41,21024.04,63.85,22323.53,67.8
Sweet potato,0.19,8958.67,8892.45,99.26,9010.46,100.58,9201.68,102.71,9265.49,103.42,9754.55,108.88,10107.14,112.82,10264.15,114.57,11476.64,128.11,11323.08,126.39
Onion,1.51,12911.28,12972.74,100.48,16261.09,125.94,16083.33,124.57,14208.65,110.05,16109.48,124.77,15981.94,123.78,16114.62,124.81,16135.55,124.97,17135.51,132.72
Banana,3.2,32344.94,33139.53,102.46,36977.43,114.32,34376.62,106.28,35879.52,110.93,35702.63,110.38,34161.08,105.61,37017.43,114.45,35548.66,109.9,34425.53,106.43
Tobacco,0.41,1294.21,1255.21,96.99,1385.4,107.05,1502.61,116.1,1635.13,126.34,1612.81,124.62,1542.01,119.15,1612.28,124.58,1842,142.3,NA,NA
Guar seed,0.62,411.06,515.04,125.29,501.18,121.92,198.54,48.3,581.09,141.36,644.21,156.72,477.09,116.06,601.73,146.38,615,149.56,NA,NA
Black pepper,0.22,297.21,238.88,80.37,198.58,66.81,260.2,87.55,282.61,95.09,205,68.97,424,142.66,411.29,138.38,503.88,169.53,426.36,143.45
Dry chillies,1.29,1599.01,1610.7,100.73,1629.96,101.94,1568.45,98.09,1544.19,96.57,1585.09,99.13,1642.32,102.71,1925.16,120.4,2109.07,131.9,1760.46,110.1
Dry ginger,0.27,3638.4,3675.31,101.01,3500,96.2,3564.81,97.98,4711.41,129.49,4877.42,134.05,5022.06,138.03,4924.81,135.36,5352.11,147.1,6721.21,184.73
Turmeric,0.52,4627.04,4531.66,97.94,4534.51,98,4381.22,94.69,5092.31,110.06,5328.77,115.17,5005.15,108.17,5107.3,110.38,4510.87,97.49,5172.97,111.8
Arecanut,1.39,1247.09,1236.36,99.14,1242.89,99.66,1194.98,95.82,1195,95.82,1467.67,117.69,1365.47,109.49,1376.11,110.35,1660,133.11,1486.26,119.18
Cardamom,0.1,170.05,163.81,96.33,168.48,99.08,177.78,104.54,183.91,108.15,179.78,105.72,195.65,115.06,225.81,132.79,240,141.13,263.74,155.09
Coriander,0.19,732.93,805.83,109.95,609.98,83.23,658.33,89.82,909.43,124.08,955.2,130.33,965.01,131.67,702.46,95.84,835.44,113.99,909.97,124.16
Garlic,0.69,4893.63,5209.17,106.45,5000.6,102.19,5054.55,103.29,5263.68,107.56,5074.38,103.69,5076.61,103.74,5419.91,110.75,5438.93,111.14,5363.98,109.61
Tea,0.28,1712.12,1672.96,97.71,1722.47,100.6,1755.53,102.54,1712.1,100,1966.54,114.86,2037.46,119,2169.77,126.73,2112.7,123.4,2176.16,127.1
Coffee,0.62,800.86,674.91,84.27,665.15,83.05,724.58,90.48,746.32,93.19,852,95.7,846,95.66,799,90.75,847,95.66,876,95.66
Rubber,1.87,1342.27,1298.94,96.77,1305.93,97.29,1211.04,90.22,1211.35,90.25,1229.89,91.63,1206.17,89.86,994.35,74.08,811.18,60.43,692.97,51.63
Non Foodgrains,49.34,NA,7886.66,105.24,6962,101.36,7215.1,100.56,7863.28,112.23,8045.93,112.65,7623.31,111.19,7630.52,114.03,7757.74,103.67,8246.17,110.2
All Crops,100,3714.35,3918.52,104.72,3668.08,103.43,3673.73,100.59,4033.06,110.92,4246.2,113.68,4189.57,113.97,4184.62,115.35,4170.13,112.27,4238.47,114.11
